日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-21,宁波港,3.46,0.87%,0.10%,0.29780700000000004,0.159697,0.13810999999999998,0.03%,0.457505,-0.29,1.49,1.17,13172999999.999998,,16.98,45578000000.0
2023-07-20,宁波港,3.43,-0.58%,0.07%,0.128965,0.192168,-0.063203,-0.01%,0.330362,0.0,1.13,0.87,13172999999.999998,,16.83,45183000000.0
2023-07-19,宁波港,3.45,0.00%,0.06%,0.133243,0.12653399999999998,0.0067090000000000006,0.00%,0.259777,-0.29,0.86,0.87,13172999999.999998,,16.93,45446000000.0
2023-07-17,宁波港,3.44,0.29%,0.06%,0.14248599999999995,0.116176,0.026309999999999983,0.01%,0.258662,0.29,0.93,0.58,13172999999.999998,,16.88,45315000000.0
2023-07-14,宁波港,3.44,-0.29%,0.04%,0.08117100000000001,0.107086,-0.02591499999999998,-0.01%,0.196,0.0,0.64,0.87,13172999999.999998,,16.83,45183000000.0
2023-07-13,宁波港,3.45,1.17%,0.07%,0.205039,0.107697,0.097342,0.02%,0.312736,0.29,0.99,1.17,13172999999.999998,,16.93,45446000000.0
2023-07-12,宁波港,3.41,-0.87%,0.06%,0.062202999999999994,0.196573,-0.13437000000000002,-0.03%,0.262619,0.0,0.86,1.16,13172999999.999998,,16.73,44919000000.0
2023-07-11,宁波港,3.44,0.00%,0.05%,0.09984,0.133751,-0.033911000000000004,-0.01%,0.233591,0.0,0.73,0.58,13172999999.999998,,16.88,45315000000.0
2023-07-10,宁波港,3.44,0.29%,0.08%,0.209216,0.167719,0.041497000000000006,0.01%,0.376934,0.0,1.16,0.88,13172999999.999998,,16.88,45315000000.0
2023-07-07,宁波港,3.43,0.88%,0.10%,0.330518,0.106625,0.223893,0.05%,0.437142,0.0,1.45,1.76,13172999999.999998,,16.83,45183000000.0
2023-07-06,宁波港,3.4,-0.29%,0.06%,0.12351400000000001,0.132606,-0.009091999999999982,-0.00%,0.25612,0.0,0.8,0.88,13172999999.999998,447.88,16.68,
2023-07-05,宁波港,3.41,0.00%,0.05%,0.07484500000000001,0.139324,-0.064479,-0.01%,0.214169,0.0,0.62,0.59,13172999999.999998,449.19,16.73,
2023-07-04,宁波港,3.41,-0.58%,0.07%,0.08037000000000001,0.221399,-0.141029,-0.03%,0.301769,0.0,0.91,0.88,13172999999.999998,449.19,16.73,
2023-07-03,宁波港,3.43,1.18%,0.09%,0.27408699999999997,0.137552,0.136535,0.03%,0.41163900000000003,0.0,1.12,1.18,13172999999.999998,451.83,16.83,
2023-06-30,宁波港,3.39,0.89%,0.07%,0.19659,0.116357,0.080233,0.02%,0.312947,0.3,0.85,1.19,13172999999.999998,446.56,16.64,
2023-06-29,宁波港,3.36,-0.88%,0.08%,0.111469,0.24311300000000002,-0.131644,-0.03%,0.354582,0.0,0.97,1.18,13172999999.999998,442.61,16.49,
2023-06-28,宁波港,3.39,0.59%,0.07%,0.192286,0.130906,0.06138,0.01%,0.32319200000000003,0.3,0.85,1.19,13172999999.999998,446.56,16.64,
2023-06-27,宁波港,3.37,1.20%,0.06%,0.16908900000000002,0.075865,0.093224,0.02%,0.244955,-0.3,0.59,1.5,13172999999.999998,443.92,16.54,
2023-06-26,宁波港,3.33,-1.77%,0.13%,0.157296,0.416291,-0.258995,-0.06%,0.573588,0.0,1.34,2.06,13172999999.999998,438.66,16.34,
